Category,License,Dependency,Notes
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.play # play-ws-standalone-json_2.12 # 1.1.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.play # play-ws-standalone-xml_2.12 # 1.1.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.play # play-ws-standalone_2.12 # 1.1.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.play # shaded-asynchttpclient # 1.1.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.play # shaded-oauth # 1.1.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-codec # commons-codec # 1.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-io # commons-io # 2.5,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.jsonwebtoken # jjwt # 0.7.0,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty # 3.10.6.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-all # 4.1.10.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-buffer # 4.1.13.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-codec # 4.1.13.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-codec-http # 4.1.13.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-common # 4.1.13.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-handler # 4.1.13.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-resolver # 4.1.13.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-transport # 4.1.13.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html)",net.sf.supercsv # super-csv # 2.4.0,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.sourceforge.cssparser # cssparser # 0.9.23,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.sourceforge.htmlunit # htmlunit # 2.27,
