Category,License,Dependency,Notes
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",commons-io # commons-io # 2.6,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",commons-net # commons-net # 3.6,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.jsonwebtoken # jjwt # 0.9.1,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty # 3.10.6.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-all # 4.0.56.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-buffer # 4.0.56.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-codec # 4.0.56.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-common # 4.0.56.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-handler # 4.0.56.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-transport # 4.0.56.Final,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",javax.cache # cache-api # 1.1.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",joda-time # joda-time # 2.10.5,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",net.lingala.zip4j # zip4j # 2.3.1,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.sourceforge.htmlunit # htmlunit # 2.36.0,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.sourceforge.htmlunit # htmlunit-cssparser # 1.5.0,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.sourceforge.htmlunit # neko-htmlunit # 2.36.0,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-compress # 1.18,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-configuration2 # 2.1.1,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-email # 1.5,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-exec # 1.3,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-lang3 # 3.8.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-lang3 # 3.9,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-text # 1.4,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-text # 1.7,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-annotations # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-auth # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-client # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-common # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-hdfs-client # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-mapreduce-client-common # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-mapreduce-client-core # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-mapreduce-client-jobclient # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-yarn-api # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-yarn-client # 3.2.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.hadoop # hadoop-yarn-common # 3.2.1,
Apache,"Apache License, Version 2.0 (LICENSE.txt)",org.apache.httpcomponents # httpasyncclient # 4.1.2,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpclient # 4.5.6,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpclient # 4.5.9,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpcore # 4.4.10,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpcore # 4.4.11,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpcore-nio # 4.4.5,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpmime # 4.5.9,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-admin # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-client # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-common # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-core # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-crypto # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-identity # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-server # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-simplekdc # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerb-util # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerby-asn1 # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerby-config # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerby-pkix # 1.0.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kerby # kerby-util # 1.0.1,
